id,steder,kilde_ider,status,kontrollert_dato,merknad
H-INTRO-A,Materiell/01-grunnleggende-elektronikk.md#1.1 Størrelser enheter og prefikser,HAREC-2024|NIST-SI-811,DEKKET,2026-08-20,SI og prefikser med konverteringseksempler
H-INTRO-B,Materiell/01-grunnleggende-elektronikk.md#1.12 Matematiske verktøy symboler og formelomforming,HAREC-2024|FAA-ELEC-2023,DEKKET,2026-08-20,Størrelses- og kretssymboler
H-INTRO-C,Materiell/01-grunnleggende-elektronikk.md#1.12 Matematiske verktøy symboler og formelomforming,HAREC-2024|NIST-SI-811,DEKKET,2026-08-20,Alle opplistede regneoperasjoner grafer og binærtall
H-INTRO-D,Materiell/01-grunnleggende-elektronikk.md#1.12 Matematiske verktøy symboler og formelomforming,HAREC-2024|NIST-SI-811,DEKKET,2026-08-20,Formelomforming og dimensjonskontroll
H-T1.1,Materiell/01-grunnleggende-elektronikk.md#1.13 Ledningsevne kilder og felter|Materiell/01-grunnleggende-elektronikk.md#1.2 Ohms lov effekt og energi|Materiell/01-grunnleggende-elektronikk.md#1.3 Kirchhoffs lover,HAREC-2024|FAA-ELEC-2023|MIT-CIRCUITS,DEKKET,2026-08-20,Ledere halvledere isolatorer størrelser lover effekt energi og Ah
H-T1.2,Materiell/01-grunnleggende-elektronikk.md#1.7 Reell spenningskilde og Thévenin-modell|Materiell/01-grunnleggende-elektronikk.md#1.13 Ledningsevne kilder og felter,HAREC-2024|FAA-ELEC-2023|MIT-THEVENIN-L03,DEKKET,2026-08-20,EMF indre motstand kortslutningsstrøm og kildekobling
H-T1.3,Materiell/01-grunnleggende-elektronikk.md#1.13 Ledningsevne kilder og felter,HAREC-2024|FAA-ELEC-2023,DEKKET,2026-08-20,E-felt V per meter og skjerming
H-T1.4,Materiell/01-grunnleggende-elektronikk.md#1.13 Ledningsevne kilder og felter,HAREC-2024|FAA-ELEC-2023,DEKKET,2026-08-20,H-felt rundt leder og tiltak
H-T1.5,Materiell/01-grunnleggende-elektronikk.md#1.13 Ledningsevne kilder og felter|Materiell/05-antenner-og-transmisjonslinjer.md#5.1 Bølgelengde og elektrisk lengde,HAREC-2024|FAA-ELEC-2023|USN-NEETS-10,DEKKET,2026-08-20,EM-bølge hastighet bølgelengde og polarisasjon
H-T1.6,Materiell/02-signaler-filtre-halvledere.md#2.1 Sinussignalet periode frekvens og fase,HAREC-2024|FAA-ELEC-2023,DEKKET,2026-08-20,Tid amplitude RMS middel periode frekvens fase
H-T1.7,Materiell/02-signaler-filtre-halvledere.md#2.2 Ikke-sinusformede signaler og harmoniske,HAREC-2024|FAA-ELEC-2023,DEKKET,2026-08-20,DC grunntone harmoniske og kTB-støy
H-T1.8,Materiell/03-modulasjon-sendere-mottakere.md#3.1 Hvorfor modulere|Materiell/03-modulasjon-sendere-mottakere.md#3.2 AM sidebånd og båndbredde|Materiell/03-modulasjon-sendere-mottakere.md#3.3 FM og PM|Materiell/03-modulasjon-sendere-mottakere.md#3.4 Digitale modulasjoner og feilkontroll,HAREC-2024|ITU-AMATEUR-2026,DEKKET,2026-08-20,Analoge og digitale moder spektrum rate CRC ARQ og FEC
H-T1.9,Materiell/02-signaler-filtre-halvledere.md#2.3 Desibel|Materiell/03-modulasjon-sendere-mottakere.md#3.9 Senderegenskaper og effekt,HAREC-2024|MIT-DB|REG-2026,DEKKET,2026-08-20,Effekt dB tilpasning virkningsgrad og PEP
H-T1.10,Materiell/04-digital-signalbehandling.md#4.1 Fra analogt signal til tall og tilbake|Materiell/04-digital-signalbehandling.md#4.2 Sampling Nyquist og aliasing|Materiell/04-digital-signalbehandling.md#4.3 Kvantisering og oppløsning|Materiell/04-digital-signalbehandling.md#4.4 Konvolusjon og impulssvar,HAREC-2024|MIT-DSP-SIGNALS|MIT-DSP-2161,DEKKET,2026-08-20,ADC DAC sampling kvantisering filtre og konvolusjon
H-T2.1,Materiell/01-grunnleggende-elektronikk.md#1.2 Ohms lov effekt og energi,HAREC-2024|FAA-ELEC-2023,DEKKET,2026-08-20,Motstand karakteristikk og effekttap
H-T2.2,Materiell/01-grunnleggende-elektronikk.md#1.8 Kondensatoren,HAREC-2024|FAA-ELEC-2023|MIT-RC-L09,DEKKET,2026-08-20,Kapasitans geometri DC AC fase og reaktans
H-T2.3,Materiell/01-grunnleggende-elektronikk.md#1.9 Spolen|Materiell/02-signaler-filtre-halvledere.md#2.4 Resonans og Q,HAREC-2024|FAA-ELEC-2023,DEKKET,2026-08-20,Induktans konstruksjon fase reaktans og Q
H-T2.4,Materiell/01-grunnleggende-elektronikk.md#1.10 Transformatoren,HAREC-2024|FAA-ELEC-2023,DEKKET,2026-08-20,Spenning strøm effekt og impedanstransformasjon
H-T2.5,Materiell/02-signaler-filtre-halvledere.md#2.6 Dioder,HAREC-2024|FAA-ELEC-2023,DEKKET,2026-08-20,Likeretter zener LED varicap lekkasje og sperrespenning
H-T2.6,Materiell/02-signaler-filtre-halvledere.md#2.8 Bipolartransistor og FET,HAREC-2024|FAA-ELEC-2023|MIT-TRANSISTOR,DEKKET,2026-08-20,NPN PNP FET styring koblinger og impedanser
H-T2.7,Materiell/02-signaler-filtre-halvledere.md#2.10 Elektronrør integrerte kretser og operasjonsforsterker,HAREC-2024|FAA-ELEC-2023,DEKKET,2026-08-20,Rør høyspenning transformasjon IC og op-amp
