id,hovedomrade,harec_punkt,engelsk_term,laeringsmal,detaljer,norsk_saerregel,primaerkilde,bokreferanse,dekning,status,kontrollert_dato
H-INTRO-A,Forutsetninger,Innledning a,"Units, multiples and sub-multiples",Kunne bruke enheter og prefikser for alle størrelser i pensumet.,Kjenne måleenhetene og vanlige multipler og submultipler.,,"HAREC-2024 vedlegg 6, PDF-side 12",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-INTRO-B,Forutsetninger,Innledning b,Symbols,Kunne kjenne igjen og bruke symbolene som inngår i pensumet.,Kretssymboler og andre faglige symboler som brukes i pensumet.,,"HAREC-2024 vedlegg 6, PDF-side 12",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-INTRO-C,Forutsetninger,Innledning c,Mathematical concepts and operations,Kunne utføre matematikken som kreves i HAREC-oppgaver.,Addisjon; subtraksjon; multiplikasjon; divisjon; brøker; tierpotenser; eksponentialer; logaritmer; kvadrering; kvadratrot; inverse verdier; lineære og ikke-lineære grafer; binært tallsystem.,,"HAREC-2024 vedlegg 6, PDF-side 12",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-INTRO-D,Forutsetninger,Innledning d,Formulae and transposition,Kunne bruke og omforme formlene som står i pensumet.,Sette inn verdier med korrekte enheter og transponere en formel for å finne ønsket ukjent.,,"HAREC-2024 vedlegg 6, PDF-side 12",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T1.1,Teknikk,a.1.1,Conductivity,"Forstå grunnleggende elektriske størrelser, ledningsevne og energiberegning.","Leder, halvleder og isolator; strøm, spenning og motstand; ampere, volt og ohm; Ohms lov E=I·R; Kirchhoffs lover; effekt P=E·I og watt; energi W=P·t; batterikapasitet i amperetimer.",,"HAREC-2024 vedlegg 6, PDF-side 14",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T1.2,Teknikk,a.1.2,Sources of electricity,Forstå reelle spenningskilder og kobling av kilder.,Spenningskilde; elektromotorisk spenning (EMF); kortslutningsstrøm; indre motstand; klemmespenning; serie- og parallellkobling av spenningskilder.,,"HAREC-2024 vedlegg 6, PDF-side 14",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T1.3,Teknikk,a.1.3,Electric field,Forstå elektrisk felt og elektrisk skjerming.,Elektrisk feltstyrke; enheten volt per meter; skjerming av elektriske felt.,,"HAREC-2024 vedlegg 6, PDF-side 14",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T1.4,Teknikk,a.1.4,Magnetic field,Forstå magnetfelt rundt strømførende ledere og magnetisk skjerming.,Magnetfelt rundt strømførende leder; skjerming av magnetiske felt.,,"HAREC-2024 vedlegg 6, PDF-side 14",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T1.5,Teknikk,a.1.5,Electromagnetic field,Forstå radiobølger som elektromagnetiske bølger.,Radiobølger; utbredelseshastighet; sammenhengen v=f·λ; polarisasjon.,,"HAREC-2024 vedlegg 6, PDF-side 14",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T1.6,Teknikk,a.1.6,Sinusoidal signals,Kunne beskrive og beregne egenskaper ved sinusformede signaler.,Tidsdiagram; momentanverdi; amplitude Umax; effektivverdi/RMS Ueff=Umax/√2; middelverdi; periode og periodetid; frekvens og hertz; faseforskjell.,,"HAREC-2024 vedlegg 6, PDF-side 15",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T1.7,Teknikk,a.1.7,Non-sinusoidal signals and noise,"Forstå ikke-sinusformede signaler, harmoniske og støy.","Lydsignal; firkantbølge; tidsdiagram; likespenningskomponent, grunntone og overharmoniske; termisk mottakerstøy PN=kTB; båndstøy; støytetthet; støyeffekt i mottakerens båndbredde.",,"HAREC-2024 vedlegg 6, PDF-side 15",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T1.8,Teknikk,a.1.8,Modulated signals,Forstå analoge og digitale modulasjonsformer og deres spektrum.,"CW; AM; PM; FM; SSB; frekvensdeviasjon og modulasjonsindeks m=ΔF/fmod; bærebølge, sidebånd og båndbredde; tidsformer for CW, AM, SSB og FM; spektrum for CW, AM og SSB; FSK, 2-PSK, 4-PSK og QAM; bit- og symbolrate (baud) og båndbredde; CRC og retransmisjon; fremoverrettet feilkorreksjon.",,"HAREC-2024 vedlegg 6, PDF-side 15",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T1.9,Teknikk,a.1.9,Power and energy,"Kunne beregne effekt, dB-forhold, tilpasning og virkningsgrad.","Sinuseffekt P=i²R=P=u²/R=u_eff·i_eff; effektforholdene 0, ±3, ±6, ±10 og ±20 dB; samlet dB for kaskader av forsterkere og dempeledd; maksimal effektoverføring; virkningsgrad η=Pout/Pin·100 %; Peak Envelope Power (PEP).",REG-2026 § 3 bokstav i definerer senderens utgangseffekt som PEP,"HAREC-2024 vedlegg 6, PDF-side 15",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T1.10,Teknikk,a.1.10,Digital Signal Processing (DSP),Forstå grunnprinsippene i digital signalbehandling.,"Sampling og kvantisering; minste samplingsrate/Nyquist-frekvens; konvolusjon i tids- og frekvensdomene, grafisk; anti-aliasfilter og rekonstruksjonsfilter; ADC og DAC.",,"HAREC-2024 vedlegg 6, PDF-side 15",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
